2025-01-15 17:44:24 | INFO | __main__ | Ingesting 706 price rows for symbol=SHREECEM (stock_id=39) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/shreecem_historical_prices.json.
2025-01-15 17:44:30 | INFO | __main__ | Done ingesting price data for SHREECEM from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/shreecem_historical_prices.json.
2025-01-15 17:44:30 | INFO | __main__ | Ingesting 706 price rows for symbol=TRENT (stock_id=37) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/trent_historical_prices.json.
2025-01-15 17:44:36 | INFO | __main__ | Done ingesting price data for TRENT from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/trent_historical_prices.json.
2025-01-15 17:44:37 | INFO | __main__ | Ingesting 496 price rows for symbol=HAL (stock_id=38) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/hal_historical_prices.json.
2025-01-15 17:44:41 | INFO | __main__ | Done ingesting price data for HAL from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/hal_historical_prices.json.
2025-01-15 17:44:41 | INFO | __main__ | Ingesting 706 price rows for symbol=TATASTEEL (stock_id=44) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/tatasteel_historical_prices.json.
2025-01-15 17:44:47 | INFO | __main__ | Done ingesting price data for TATASTEEL from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/tatasteel_historical_prices.json.
2025-01-15 17:44:47 | INFO | __main__ | Ingesting 706 price rows for symbol=PNB (stock_id=42) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/pnb_historical_prices.json.
2025-01-15 17:44:53 | INFO | __main__ | Done ingesting price data for PNB from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/pnb_historical_prices.json.
2025-01-15 17:44:54 | INFO | __main__ | Ingesting 706 price rows for symbol=PIDILITIND (stock_id=43) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/pidilitind_historical_prices.json.
2025-01-15 17:44:59 | INFO | __main__ | Done ingesting price data for PIDILITIND from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/pidilitind_historical_prices.json.
2025-01-15 17:44:59 | INFO | __main__ | Ingesting 413 price rows for symbol=IRCTC (stock_id=45) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/irctc_historical_prices.json.
2025-01-15 17:45:03 | INFO | __main__ | Done ingesting price data for IRCTC from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/irctc_historical_prices.json.
2025-01-15 17:45:03 | INFO | __main__ | Ingesting 706 price rows for symbol=TVSMOTOR (stock_id=49) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/tvsmotor_historical_prices.json.
2025-01-15 17:45:10 | INFO | __main__ | Done ingesting price data for TVSMOTOR from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/tvsmotor_historical_prices.json.
2025-01-15 17:45:10 | INFO | __main__ | Ingesting 706 price rows for symbol=GRASIM (stock_id=50) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/grasim_historical_prices.json.
2025-01-15 17:45:16 | INFO | __main__ | Done ingesting price data for GRASIM from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/grasim_historical_prices.json.
2025-01-15 17:45:16 | INFO | __main__ | Ingesting 706 price rows for symbol=JSWSTEEL (stock_id=48) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/jswsteel_historical_prices.json.
2025-01-15 17:45:23 | INFO | __main__ | Done ingesting price data for JSWSTEEL from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/jswsteel_historical_prices.json.
2025-01-15 17:45:23 | INFO | __main__ | Ingesting 706 price rows for symbol=ADANIENT (stock_id=47) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/adanient_historical_prices.json.
2025-01-15 17:45:29 | INFO | __main__ | Done ingesting price data for ADANIENT from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/adanient_historical_prices.json.
2025-01-15 17:45:29 | INFO | __main__ | Ingesting 706 price rows for symbol=BHARTIARTL (stock_id=53) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/bhartiartl_historical_prices.json.
2025-01-15 17:45:35 | INFO | __main__ | Done ingesting price data for BHARTIARTL from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/bhartiartl_historical_prices.json.
2025-01-15 17:45:35 | INFO | __main__ | Ingesting 706 price rows for symbol=SIEMENS (stock_id=54) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/siemens_historical_prices.json.
2025-01-15 17:45:41 | INFO | __main__ | Done ingesting price data for SIEMENS from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/siemens_historical_prices.json.
2025-01-15 17:45:41 | INFO | __main__ | Ingesting 706 price rows for symbol=HEROMOTOCO (stock_id=55) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/heromotoco_historical_prices.json.
2025-01-15 17:45:48 | INFO | __main__ | Done ingesting price data for HEROMOTOCO from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/heromotoco_historical_prices.json.
2025-01-15 17:45:48 | INFO | __main__ | Ingesting 706 price rows for symbol=HCLTECH (stock_id=52) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/hcltech_historical_prices.json.
2025-01-15 17:45:54 | INFO | __main__ | Done ingesting price data for HCLTECH from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/hcltech_historical_prices.json.
2025-01-15 17:45:54 | INFO | __main__ | Ingesting 706 price rows for symbol=DABUR (stock_id=58) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/dabur_historical_prices.json.
2025-01-15 17:46:00 | INFO | __main__ | Done ingesting price data for DABUR from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/dabur_historical_prices.json.
2025-01-15 17:46:00 | INFO | __main__ | Ingesting 706 price rows for symbol=BANKBARODA (stock_id=57) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/bankbaroda_historical_prices.json.
2025-01-15 17:46:06 | INFO | __main__ | Done ingesting price data for BANKBARODA from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/bankbaroda_historical_prices.json.
2025-01-15 17:46:06 | INFO | __main__ | Ingesting 706 price rows for symbol=BAJAJ-AUTO (stock_id=60) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/bajaj-auto_historical_prices.json.
2025-01-15 17:46:12 | INFO | __main__ | Done ingesting price data for BAJAJ-AUTO from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/bajaj-auto_historical_prices.json.
2025-01-15 17:46:12 | INFO | __main__ | Ingesting 706 price rows for symbol=BEL (stock_id=59) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/bel_historical_prices.json.
2025-01-15 17:46:18 | INFO | __main__ | Done ingesting price data for BEL from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/bel_historical_prices.json.
2025-01-15 17:46:18 | INFO | __main__ | Ingesting 467 price rows for symbol=ATGL (stock_id=65) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/atgl_historical_prices.json.
2025-01-15 17:46:23 | INFO | __main__ | Done ingesting price data for ATGL from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/atgl_historical_prices.json.
2025-01-15 17:46:23 | INFO | __main__ | Ingesting 216 price rows for symbol=LICI (stock_id=63) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/lici_historical_prices.json.
2025-01-15 17:46:25 | INFO | __main__ | Done ingesting price data for LICI from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/lici_historical_prices.json.
2025-01-15 17:46:25 | INFO | __main__ | Ingesting 706 price rows for symbol=EICHERMOT (stock_id=62) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/eichermot_historical_prices.json.
2025-01-15 17:46:31 | INFO | __main__ | Done ingesting price data for EICHERMOT from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/eichermot_historical_prices.json.
2025-01-15 17:46:31 | INFO | __main__ | Ingesting 636 price rows for symbol=LTIM (stock_id=64) from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/ltim_historical_prices.json.
2025-01-15 17:46:36 | INFO | __main__ | Done ingesting price data for LTIM from file=e:/smarket/data-ingestion/scripts/../data/stock_prices/ltim_historical_prices.json.
