2025-01-15 16:20:21 | INFO | __main__ | Fetching historical prices for RELIANCE from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:21 | INFO | __main__ | Fetching prices for RELIANCE from 15-01-2025 to 15-01-2025
2025-01-15 16:20:23 | INFO | __main__ | Updated stock prices saved to data/stock_prices/reliance_historical_prices.json
2025-01-15 16:20:23 | INFO | __main__ | Fetching historical prices for ADANIPORTS from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:23 | INFO | __main__ | Fetching prices for ADANIPORTS from 15-01-2025 to 15-01-2025
2025-01-15 16:20:25 | INFO | __main__ | Updated stock prices saved to data/stock_prices/adaniports_historical_prices.json
2025-01-15 16:20:25 | INFO | __main__ | Fetching historical prices for SBIN from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:25 | INFO | __main__ | Fetching prices for SBIN from 15-01-2025 to 15-01-2025
2025-01-15 16:20:27 | INFO | __main__ | Updated stock prices saved to data/stock_prices/sbin_historical_prices.json
2025-01-15 16:20:27 | INFO | __main__ | Fetching historical prices for TVSMOTOR from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:27 | INFO | __main__ | Fetching prices for TVSMOTOR from 15-01-2025 to 15-01-2025
2025-01-15 16:20:29 | INFO | __main__ | Updated stock prices saved to data/stock_prices/tvsmotor_historical_prices.json
2025-01-15 16:20:29 | INFO | __main__ | Fetching historical prices for SHREECEM from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:29 | INFO | __main__ | Fetching prices for SHREECEM from 15-01-2025 to 15-01-2025
2025-01-15 16:20:31 | INFO | __main__ | Updated stock prices saved to data/stock_prices/shreecem_historical_prices.json
2025-01-15 16:20:31 | INFO | __main__ | Fetching historical prices for AMBUJACEM from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:31 | INFO | __main__ | Fetching prices for AMBUJACEM from 15-01-2025 to 15-01-2025
2025-01-15 16:20:32 | INFO | __main__ | Updated stock prices saved to data/stock_prices/ambujacem_historical_prices.json
2025-01-15 16:20:32 | INFO | __main__ | Fetching historical prices for ABB from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:32 | INFO | __main__ | Fetching prices for ABB from 15-01-2025 to 15-01-2025
2025-01-15 16:20:35 | INFO | __main__ | Updated stock prices saved to data/stock_prices/abb_historical_prices.json
2025-01-15 16:20:35 | INFO | __main__ | Fetching historical prices for HCLTECH from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:35 | INFO | __main__ | Fetching prices for HCLTECH from 15-01-2025 to 15-01-2025
2025-01-15 16:20:36 | INFO | __main__ | Updated stock prices saved to data/stock_prices/hcltech_historical_prices.json
2025-01-15 16:20:36 | INFO | __main__ | Fetching historical prices for INFY from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:20:36 | INFO | __main__ | Fetching prices for INFY from 15-01-2025 to 15-01-2025
2025-01-15 16:20:38 | INFO | __main__ | Updated stock prices saved to data/stock_prices/infy_historical_prices.json
